qa_id,speech_id,qa_no,question,answer,created_at
1,120815254X00220220120_002,1,阪神・淡路大震災の追悼集いはいつ行われましたか？,一月十七日に追悼の集いが行われました。,2026-01-16 06:40:34
2,120815254X00220220120_002,2,トンガの海底火山噴火による津波に対して、政府はどのような避難所対応を検討していましたか？,感染対策との兼ね合いで避難所対応が難しい状況でした。,2026-01-16 06:40:34
3,120815254X00220220120_002,3,岸田総理は日中関係についてどのような姿勢を示しましたか？,中国には主張すべきは主張し、責任ある行動を強く求めるとしつつ、共通の課題には協力し、建設的かつ安定的な関係の構築を目指します。,2026-01-16 06:40:34
4,120815254X00220220120_002,4,人権外交とは何ですか？,人権外交とは、世界で人権侵害を許さないよう国際会議や首脳会議で訴えることです。,2026-01-16 06:40:34
5,120815254X00220220120_002,5,岸田総理はアイヌの遺骨問題についてどう考えていますか？,アイヌの人々の民族的な誇りが尊重される社会が実現する上で、極めて重要な一歩であったと思います。,2026-01-16 06:40:34
6,120805261X00420220126_204,1,道下委員は最低賃金の上昇についてどう述べていますか？,三％ずつ最低賃金は上がっていますので、何もしなくても三年後には千円以上になってしまいます。,2026-01-16 06:40:51
7,120805261X00420220126_204,2,道下委員が岸田総理に求める賃上げに関する提言は何ですか？,更なる賃上げ率を上げることや、中小、小規模零細企業に対しての社会保険料の負担を減免、負担を下げることです。,2026-01-16 06:40:51
8,120805261X00420220126_204,3,道下委員が教育政策についての疑問を持っているのは何ですか？,防衛費が増えたのに対し、教育費が低いままであることについて疑問を持っています。,2026-01-16 06:40:51
9,120805261X00420220126_204,4,道下委員が提案する教育投資の具体例には何がありますか？,給付型奨学金や少人数学級の導入があります。,2026-01-16 06:40:51
10,120805261X00420220126_204,5,道下委員は教育予算の拡充についてどのように考えていますか？,教育予算をもっと拡充し、子供たちのために投資をしていく必要があると考えています。,2026-01-16 06:40:51
11,120805261X00720220201_094,1,教員不足の調査結果はどのようなものでしたか？,年度の初めに二千五百五十八人の教員不足が明らかになりました。,2026-01-16 06:40:59
12,120805261X00720220201_094,2,堀場委員が教員の働き方に関して言及したポイントは何ですか？,教育的傾向の強い仕事から福祉的傾向が強い仕事までグラデーションのようにあり、重なっていたり非常に分担しにくい状態にあるということです。,2026-01-16 06:40:59
13,120805261X00720220201_094,3,不登校の子供に対する教員の対応はどのようなものですか？,担任は家まで迎えに行ったり電話をしたりしています。,2026-01-16 06:40:59
